City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,yakeshi,49.2833,120.7333,286.48,58,27,4.5,CN,1695090737
283,yilan,24.757,121.753,308.16,63,23,3.5,TW,1695090737
284,la mira,18.035,-102.3266,299.48,80,1,1.87,MX,1695090737
285,karaton,-6.3424,106.1045,304.82,51,100,1.01,ID,1695090737
286,yuzhno-kurilsk,44.0306,145.8556,292.12,89,99,2.38,RU,1695090738
287,la ronge,55.1001,-105.2842,288.29,58,75,1.54,CA,1695090738
288,oriximina,-1.7656,-55.8661,301.63,46,65,0.89,BR,1695090738
289,amos,48.5669,-78.1162,278.84,87,0,2.33,CA,1695090736
290,launceston,-41.45,147.1667,290.95,67,40,13.89,AU,1695090738
291,ad dilam,23.9915,47.1627,303.38,19,100,1.84,SA,1695090738
292,polyarnyy,69.1989,33.4478,277.56,94,100,2.09,RU,1695090739
293,sarina,-21.4333,149.2167,299.6,62,27,4.27,AU,1695090739
294,goz beida,13.95,20.55,298.64,71,72,2.84,TD,1695090739
295,ibarreta,-25.2144,-59.8585,289.93,79,0,3.63,AR,1695090739
296,nazca,-14.8333,-74.95,295.19,59,19,1.02,PE,1695090739
297,sirte,31.2089,16.5887,297.72,72,51,2.97,LY,1695090739
298,luwuk,-0.9516,122.7875,302.78,66,63,3.29,ID,1695090740
299,ajaccio,42.0,8.9167,298.18,77,0,3.09,FR,1695090529
300,tabas,33.5959,56.9244,297.27,17,0,1.03,IR,1695090740
301,villa gesell,-37.2639,-56.973,281.51,75,100,4.5,AR,1695090740
302,taoudenni,22.6783,-3.9836,307.06,14,32,2.57,ML,1695090740
303,weaverham,53.2602,-2.5729,286.82,83,100,0.45,GB,1695090740
304,humberto de campos,-2.5983,-43.4611,297.57,87,17,2.19,BR,1695090741
305,el bauga,18.262,33.9081,304.76,36,88,2.5,SD,1695090741
306,sao raimundo nonato,-9.0153,-42.6994,298.63,50,11,2.72,BR,1695090741
307,beeskow,52.1667,14.25,290.94,89,100,3.91,DE,1695090741
308,botad,22.1667,71.6667,299.07,86,100,4.07,IN,1695090741
309,dawei,14.0833,98.2,300.94,78,98,0.55,MM,1695090741
310,acarau,-2.8856,-40.12,299.07,82,22,6.62,BR,1695090741
311,gemena,3.25,19.7667,293.41,98,96,0.22,CD,1695090742
312,madera acres,37.0191,-120.0668,300.23,47,75,2.06,US,1695090742
313,nevel'sk,46.6733,141.8633,291.65,90,100,4.69,RU,1695090742
314,olyokminsk,60.3736,120.4264,278.79,45,9,2.27,RU,1695090742
315,atafu village,-8.5421,-172.5159,301.44,79,31,6.31,TK,1695090742
316,tolcayuca,19.95,-98.9167,286.03,91,40,2.79,MX,1695090742
317,cockburn town,21.4612,-71.1419,302.1,77,6,7.48,TC,1695090743
318,sharypovo,55.5403,89.2008,288.19,64,92,1.15,RU,1695090743
319,hartford city,40.4511,-85.37,286.16,82,7,2.19,US,1695090743
320,egilsstadir,65.2653,-14.3948,281.1,87,100,3.6,IS,1695090743
321,lijiang,26.8688,100.2207,293.05,72,99,1.57,CN,1695090743
322,kampong dungun,3.2167,101.3167,305.42,69,45,0.53,MY,1695090743
323,luderitz,-26.6481,15.1594,285.37,87,0,6.48,NA,1695090656
324,lishui,28.4604,119.9103,304.85,63,90,1.39,CN,1695090744
325,shendi,16.6915,33.4341,304.74,26,55,5.0,SD,1695090744
326,baykal'sk,51.5058,104.1469,286.79,58,75,1.22,RU,1695090744
327,pathardi,19.1667,75.1833,298.83,70,16,6.32,IN,1695090744
328,kailua-kona,19.6406,-155.9956,302.13,81,100,5.66,US,1695090566
329,laojunmiao,39.8333,97.7333,287.92,29,50,4.85,CN,1695090744
